date,Number_cases
1/1/15,62
2/1/15,73
3/1/15,73
4/1/15,97
5/1/15,47
6/1/15,23
7/1/15,34
8/1/15,126
9/1/15,142
10/1/15,165
11/1/15,87
12/1/15,25
1/1/16,75
2/1/16,102
3/1/16,86
4/1/16,99
5/1/16,55
6/1/16,16
7/1/16,10
8/1/16,142
9/1/16,124
10/1/16,130
11/1/16,87
12/1/16,15
1/1/17,104
2/1/17,86
3/1/17,87
4/1/17,65
5/1/17,69
6/1/17,41
7/1/17,26
8/1/17,5
9/1/17,35
10/1/17,127
11/1/17,64
12/1/17,66
1/1/18,100
2/1/18,103
3/1/18,20
4/1/18,28
5/1/18,100
6/1/18,109
7/1/18,132
8/1/18,89
9/1/18,24
10/1/18,77
11/1/18,109
12/1/18,121
1/1/19,121
2/1/19,66
3/1/19,27
4/1/19,26
5/1/19,153
6/1/19,195
7/1/19,182
8/1/19,118
9/1/19,34
10/1/19,33
11/1/19,103
12/1/19,36
1/1/20,3
2/1/20,3
3/1/20,1
4/1/20,4
5/1/20,15
6/1/20,20
7/1/20,32
8/1/20,16
9/1/20,4
10/1/20,12
11/1/20,12
12/1/20,10
1/1/21,20
2/1/21,11
3/1/21,10
