notedate,VivoconANSWERSoloa,VivoconANSWEREsposoaparejaotrapersonasignificativa,VivoconANSWERCompañeroadehospedaje,VivoconANSWERHijosas,VivoconANSWERPadreMadreoEncargadoa,VivoconANSWEROtrosfamiliares,Cantidaddehorasalasemanaquetrabajasconpaga,Tengoproblemaseconómicos,Teconsideras,Tipoderelaciónsentimiental,Mipreferenciareligiosaoespirituales,Númerodecréditosqueestastomandoestesemestre,Tengodificultadesacadémicas,Heestadoenprobatoriaacadémica,Tengoclaralaprofesiónalaquedeseodedicarme,Soyestudiantedetransferenciaopermisoespecial,ParticipoenequiposatléticosenelRecinto,Reciboserviciosderehabilitaciónvocacional,EstoyregistradoaenlaOficinadeServiciosaEstudiantesconImpedimient,SiestasregistradoaenOSEIindicalacategoriamarcatodaslasqueaplique,SiestasregistradoaenOSEIindicalacategoriamarcatodaslasqueapliq_A,SiestasregistradoaenOSEIindicalacategoriamarcatodaslasqueapliq_B,SiestasregistradoaenOSEIindicalacategoriamarcatodaslasqueapliq_C,SiestasregistradoaenOSEIindicalacategoriamarcatodaslasqueapliq_D,SiestasregistradoaenOSEIindicalacategoriamarcatodaslasqueapliq_E,SiestasregistradoaenOSEIindicalacategoriamarcatodaslasqueapliq_F,SiestasregistradoaenOSEIindicalacategoriamarcatodaslasqueapliq_G,SiestasregistradoaenOSEIindicalacategoriamarcatodaslasqueapliq_H,SiestasregistradoaenOSEIindicalacategoriamarcatodaslasqueapliq_I,SiestasregistradoaenOSEIindicalacategoriamarcatodaslasqueapliq_J,SiestasregistradoaenOSEIindicalacategoriamarcatodaslasqueapliq_K,SiestasregistradoaenOSEIindicalacategoriamarcatodaslasqueapliq_L,SiestasregistradoaenOSEIindicalacategoriamarcatodaslasqueapliq_M,Hasrecibidoosolicitadoacomodorazonableenotrainstitucióneducativ,Tengopreocupacionesrelacionadasamialimentacióndietasnosaludable,Tengodificultadesconelsueño,Enlasúltimasdossemanashebebido5omástragoscorridosparahombreso4,Enlasúltimasdossemanas¿cuántasvecesfumastemarihuana,Asistíaconsejeríaopsicoterapiaporasuntosrelacionadosconmisalud,Hetomadomedicamentosprescritosporcondicionesrelacionadasamisalud,Heestadohospitalizadoaporalgunacondiciónrelacionadaconmisaludme,Sentílanecesidaddereducirelusodebebidasalcóholicasyodrogas,Otraspersonasmehanexpresadosupreocupaciónpormiconsumodealcoholy,Herecibidotratamientoporelusodealcoholodrogas,Meheagredidosinintenciónsuicidaej.cortaduragolpequemadurahalón,Hetenidoataquesdepánicoepisodiosdeansiedadseveraqueduranalreded,Hepensadoensuicidarme,Intentésuicidarme,Consideréseriamentelastimaraotrapersona,Causéintencionalmenteunaheridagraveaotrapersona,Hetenidocontactossexualesuotrasexperienciasdeíndolesexualsindes,Hesufridoacosoohesidomaltratadoporotrapersonaej.amigofamiliarcom,¿Hassufridoalgúnuneventostraumáticosquetehayaprovocadointenso,MarcasihasexperimentadoalgunadeestassituacionesANSWERAbusofísic,MarcasihasexperimentadoalgunadeestassituacionesANSWERAbusosexual,MarcasihasexperimentadoalgunadeestassituacionesANSWERAbusoemocio,MarcasihasexperimentadoalgunadeestassituacionesANSWERAtaquefísi,MarcasihasexperimentadoalgunadeestassituacionesANSWERViolenciase,MarcasihasexperimentadoalgunadeestassituacionesANSWERRaptooserto,MarcasihasexperimentadoalgunadeestassituacionesANSWERDiagnóstic,MarcasihasexperimentadoalgunadeestassituacionesANSWERPresenciéu,MarcasihasexperimentadoalgunadeestassituacionesANSWERSupequeunse,MarcasihasexperimentadoalgunadeestassituacionesANSWERMeenteréde,MarcasihasexperimentadoalgunadeestassituacionesANSWERMeenteré_A,MarcasihasexperimentadoalgunadeestassituacionesANSWERCombatemili,MarcasialgunadelassiguientesaplicaamiembrosdeTUFAMILIAINMEDIATAm,MarcasialgunadelassiguientesaplicaamiembrosdeTUFAMILIAINMEDIAT_A,MarcasialgunadelassiguientesaplicaamiembrosdeTUFAMILIAINMEDIAT_B,MarcasialgunadelassiguientesaplicaamiembrosdeTUFAMILIAINMEDIAT_C,MarcasialgunadelassiguientesaplicaamiembrosdeTUFAMILIAINMEDIAT_D,MarcasialgunadelassiguientesaplicaamiembrosdeTUFAMILIAINMEDIAT_E,MarcasialgunadelassiguientesaplicaamiembrosdeTUFAMILIAINMEDIAT_F,MarcasialgunadelassiguientesaplicaamiembrosdeTUFAMILIAINMEDIAT_G,MarcasialgunadelassiguientesaplicaamiembrosdeTUFAMILIAINMEDIAT_H,MarcasialgunadelassiguientesaplicaamiembrosdeTUFAMILIAINMEDIAT_I,MarcasialgunadelassiguientesaplicaamiembrosdeTUFAMILIAINMEDIAT_J,MarcasialgunadelassiguientesaplicaamiembrosdeTUFAMILIAINMEDIAT_K,MarcasialgunadelassiguientesaplicaamiembrosdeTUFAMILIAINMEDIAT_L,Recibolaayudaemocionalyelapoyoquenecesitodemifamilia,Recibolaayudaemocionalyelapoyoquenecesitodemiredsocial,CASIC
1/27/21,1,0,0,0,0,0,40,1,3,6,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,TRUE
9/14/16,0,0,0,0,1,0,12,1,6,6,1,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,1,1,1,0,1,1,0,0,0,0,1, ,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,TRUE
8/13/15,0,0,0,0,0,1,16,1,3,6,8,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,1,0,0,1,0,1,0,0,0,1, ,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,TRUE
1/10/18,0,1,0,0,0,0,20,1,3,2,4,6,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0, ,0,0,0,1,1,1,1,0,0,0,1, ,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,TRUE
3/7/19,0,0,0,0,1,0, ,1,6,6,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,1,1,0,0,0,1,1,0,0,0,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,TRUE
10/20/15,1,0,0,0,0,0,0,1,3,6,8,10,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0, ,1,1,1,1,1,1,1,1,1,1,1, ,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,TRUE
11/7/18,0,1,0,0,0,0,15,0,3,1,10,7,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0, ,0,0,0,0,1,1,1,0,0,0,1, ,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,TRUE
10/12/18,1,0,0,0,0,0, ,1,6,6,1,6,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0, ,1,1,0,0,1,1,1,0,0,0,1, ,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,TRUE
4/26/16,1,0,0,0,0,0,13,1,3,4,9,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,1,1,0,0,1,1,1,0,0,0,1, ,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,TRUE
2/10/17,1,0,0,0,0,0,20,1,1,6,8,9,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0, ,0,1,0,1,1,1,1,1,1,1,1, ,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,TRUE
7/2/15,1,0,0,0,0,0,40,1,3,6,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,1,1,0,0,1,0,0,0,0,0,1, ,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,TRUE
9/25/15,0,0,0,0,1,0, ,1,3,6,4,12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,1,0,0,0,0,0,0,0,0,0,1, ,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,TRUE
1/28/15,0,0,0,0,1,0, ,1,3,4,8,12,1,1,1,0,0, ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,1,1,0,0,1,1,1,0,0,0,1, ,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,TRUE
8/31/18,0,0,0,0,1,0,0,1,1,4,1,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,1,1,1,0,0,0,1, ,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,TRUE
