year,population
1950,500
1951,515
1952,530
1953,546
1954,562
1955,579
1956,597
1957,614
1958,633
1959,652
1960,671
1961,590
1962,712
1963,734
1964,756
1965,778
1966,802
1967,826
1968,851
1969,876
1970,903
1971,930
1972,958
1973,986
1974,1016
1975,1046
1976,1078
1977,1110
1978,1143
1979,1178
1980,1213
1981,1250
1982,1287
1983,1326
1984,1365
1985,1406
1986,1449
1987,1492
1988,1537
1989,1583
1990,1631
1991,1679
1992,1730
1993,1782
1994,1835
1995,1890
1996,1947
1997,2005
1998,2066
1999,2128
