,Time,Date,Day of the week,CarCount,BikeCount,BusCount,TruckCount,Total,Traffic Situation
0,0,10,Tuesday,31,0,4,4,39,low
1,0,10,Tuesday,49,0,3,3,55,low
2,0,10,Tuesday,46,0,3,6,55,low
3,0,10,Tuesday,51,0,2,5,58,low
4,0,10,Tuesday,57,6,15,16,94,normal
5,0,10,Tuesday,44,0,5,4,53,low
6,0,10,Tuesday,37,0,1,4,42,low
7,0,10,Tuesday,42,4,4,5,55,low
8,0,10,Tuesday,51,0,9,7,67,low
9,0,10,Tuesday,34,0,4,7,45,low
10,0,10,Tuesday,45,0,1,1,47,low
11,0,10,Tuesday,45,0,1,3,49,low
12,0,10,Tuesday,50,0,3,0,53,low
13,0,10,Tuesday,34,0,4,4,42,low
14,0,10,Tuesday,129,22,42,1,194,heavy
15,0,10,Tuesday,144,16,49,0,209,heavy
16,0,10,Tuesday,111,28,20,3,162,normal
17,0,10,Tuesday,67,11,10,16,104,normal
18,0,10,Tuesday,65,24,7,16,112,normal
19,0,10,Tuesday,94,27,7,16,144,normal
20,0,10,Tuesday,94,20,8,7,129,normal
21,0,10,Tuesday,67,29,5,10,111,low
22,0,10,Tuesday,56,12,2,14,84,normal
23,0,10,Tuesday,57,13,3,11,84,low
24,0,10,Tuesday,129,22,42,1,194,heavy
25,0,10,Tuesday,144,16,49,0,209,heavy
26,0,10,Tuesday,111,28,20,3,162,normal
27,0,10,Tuesday,120,27,46,3,196,heavy
28,0,10,Tuesday,102,39,47,1,189,heavy
29,0,10,Tuesday,145,23,27,0,195,heavy
30,0,10,Tuesday,114,37,21,5,177,heavy
31,0,10,Tuesday,108,18,22,1,149,normal
32,0,10,Tuesday,122,28,33,1,184,heavy
33,0,10,Tuesday,114,39,30,3,186,heavy
34,0,10,Tuesday,150,36,25,1,212,heavy
35,0,10,Tuesday,107,10,49,2,168,heavy
36,0,10,Tuesday,124,24,22,0,170,heavy
37,0,10,Tuesday,77,16,39,29,161,high
38,0,10,Tuesday,15,23,30,21,89,normal
39,0,10,Tuesday,32,22,38,21,113,high
40,0,10,Tuesday,68,13,29,24,134,high
41,0,10,Tuesday,27,16,36,30,109,normal
42,0,10,Tuesday,76,7,11,15,109,normal
43,0,10,Tuesday,41,23,20,17,101,normal
44,0,10,Tuesday,33,10,3,29,75,normal
45,0,10,Tuesday,58,8,14,29,109,normal
46,0,10,Tuesday,65,7,11,26,109,normal
47,0,10,Tuesday,47,9,6,29,91,normal
48,0,10,Tuesday,38,10,5,25,78,normal
49,0,10,Tuesday,57,8,12,29,106,normal
50,0,10,Tuesday,20,6,4,20,50,normal
51,0,10,Tuesday,24,9,14,23,70,normal
52,0,10,Tuesday,52,10,13,21,96,normal
53,0,10,Tuesday,79,15,36,18,148,high
54,0,10,Tuesday,84,24,22,18,148,normal
55,0,10,Tuesday,59,19,35,16,129,high
56,0,10,Tuesday,88,26,31,19,164,high
57,0,10,Tuesday,24,11,32,13,80,normal
58,0,10,Tuesday,110,17,23,20,170,heavy
59,0,10,Tuesday,29,26,5,6,66,low
60,0,10,Tuesday,43,26,11,20,100,normal
61,0,10,Tuesday,68,28,9,15,120,normal
62,0,10,Tuesday,108,16,8,18,150,normal
63,0,10,Tuesday,101,26,8,14,149,normal
64,0,10,Tuesday,141,31,36,6,214,heavy
65,0,10,Tuesday,120,25,28,5,178,heavy
66,0,10,Tuesday,137,23,44,5,209,heavy
67,0,10,Tuesday,124,11,30,7,172,heavy
68,0,10,Tuesday,145,25,49,7,226,heavy
69,0,10,Tuesday,122,37,23,8,190,heavy
70,0,10,Tuesday,136,30,20,9,195,heavy
71,0,10,Tuesday,145,18,40,9,212,heavy
72,0,10,Tuesday,138,34,28,5,205,heavy
73,0,10,Tuesday,123,10,29,8,170,heavy
74,0,10,Tuesday,105,15,21,9,150,normal
75,0,10,Tuesday,75,22,20,11,128,normal
76,0,10,Tuesday,90,12,10,13,125,normal
77,0,10,Tuesday,102,22,20,16,160,normal
78,0,10,Tuesday,61,18,15,27,121,high
79,0,10,Tuesday,70,8,14,6,98,low
80,0,10,Tuesday,80,17,12,34,143,high
81,0,10,Tuesday,62,12,14,19,107,normal
82,0,10,Tuesday,96,5,11,13,125,normal
83,0,10,Tuesday,102,6,12,13,133,normal
84,0,10,Tuesday,91,14,15,6,126,normal
85,0,10,Tuesday,95,8,17,13,133,normal
86,0,10,Tuesday,75,15,12,21,123,high
87,0,10,Tuesday,53,21,20,10,104,normal
88,0,10,Tuesday,13,1,0,19,33,normal
89,0,10,Tuesday,10,0,1,24,35,normal
90,0,10,Tuesday,16,2,0,33,51,normal
91,0,10,Tuesday,11,1,0,29,41,normal
92,0,10,Tuesday,18,2,1,13,34,normal
93,0,10,Tuesday,15,0,1,11,27,low
94,0,10,Tuesday,14,1,0,33,48,normal
95,0,10,Tuesday,17,2,0,22,41,normal
96,0,11,Wednesday,12,2,1,17,32,normal
97,0,11,Wednesday,18,0,0,29,47,normal
98,0,11,Wednesday,16,1,0,14,31,normal
99,0,11,Wednesday,20,0,0,14,34,normal
100,0,11,Wednesday,20,1,1,30,52,normal
101,0,11,Wednesday,15,0,1,23,39,normal
102,0,11,Wednesday,16,0,1,26,43,normal
103,0,11,Wednesday,18,4,0,11,33,low
104,0,11,Wednesday,17,3,1,36,57,normal
105,0,11,Wednesday,14,4,1,10,29,low
106,0,11,Wednesday,18,2,1,25,46,normal
107,0,11,Wednesday,12,2,0,19,33,normal
108,0,11,Wednesday,11,4,0,30,45,normal
109,0,11,Wednesday,19,1,1,36,57,normal
110,0,11,Wednesday,10,4,0,36,50,normal
111,0,11,Wednesday,20,1,1,32,54,normal
112,0,11,Wednesday,15,5,1,40,61,normal
113,0,11,Wednesday,104,6,5,1,116,normal
114,0,11,Wednesday,109,25,3,8,145,normal
115,0,11,Wednesday,82,23,8,20,133,normal
116,0,11,Wednesday,81,25,1,18,125,normal
117,0,11,Wednesday,95,16,10,1,122,normal
118,0,11,Wednesday,91,24,7,6,128,normal
119,0,11,Wednesday,81,30,10,0,121,normal
120,0,11,Wednesday,125,13,26,2,166,high
121,0,11,Wednesday,125,39,49,3,216,heavy
122,0,11,Wednesday,125,34,37,1,197,heavy
123,0,11,Wednesday,125,19,25,4,173,heavy
124,0,11,Wednesday,125,15,49,0,189,heavy
125,0,11,Wednesday,125,32,50,5,212,heavy
126,0,11,Wednesday,125,38,50,1,214,heavy
127,0,11,Wednesday,125,29,29,3,186,heavy
128,0,11,Wednesday,125,31,48,4,208,heavy
129,0,11,Wednesday,125,32,50,0,207,heavy
130,0,11,Wednesday,125,31,45,0,201,heavy
131,0,11,Wednesday,125,21,20,1,167,normal
132,0,11,Wednesday,125,28,36,0,189,heavy
133,0,11,Wednesday,39,10,37,16,102,normal
134,0,11,Wednesday,89,8,12,13,122,normal
135,0,11,Wednesday,51,16,16,13,96,normal
136,0,11,Wednesday,17,9,18,28,72,normal
137,0,11,Wednesday,48,25,36,21,130,high
138,0,11,Wednesday,93,7,30,16,146,high
139,0,11,Wednesday,55,15,36,15,121,high
140,0,11,Wednesday,51,10,8,22,91,normal
141,0,11,Wednesday,51,7,3,24,85,normal
142,0,11,Wednesday,51,9,7,30,97,normal
143,0,11,Wednesday,51,7,14,20,92,normal
144,0,11,Wednesday,51,10,14,20,95,normal
145,0,11,Wednesday,51,10,6,22,89,normal
146,0,11,Wednesday,51,8,11,22,92,normal
147,0,11,Wednesday,51,6,10,26,93,normal
148,0,11,Wednesday,51,7,7,27,92,normal
149,0,11,Wednesday,104,17,25,20,166,normal
150,0,11,Wednesday,6,28,27,14,75,normal
151,0,11,Wednesday,54,29,37,9,129,high
152,0,11,Wednesday,43,13,30,20,106,normal
153,0,11,Wednesday,60,21,26,11,118,high
154,0,11,Wednesday,101,23,8,20,152,normal
155,0,11,Wednesday,62,26,19,11,118,normal
156,0,11,Wednesday,39,24,13,11,87,low
157,0,11,Wednesday,90,20,35,7,152,high
158,0,11,Wednesday,109,30,22,20,181,heavy
159,0,11,Wednesday,68,26,25,20,139,normal
160,0,11,Wednesday,142,22,37,6,207,heavy
